id,title,severity,area,description,evidence,fix,owner,due_date
REL-004,No chaos engineering practices,S3,reliability,"System resilience not tested under failure conditions. Unknown behavior during cascading failures.",No chaos testing documented,Establish chaos engineering practices; conduct failure injection tests quarterly,Ops Team,2025-12-15
PERF-001,No load testing baseline established,S2,performance,"System capacity and breaking points unknown. No performance baseline to compare against.",No load testing tools or results in repository,Create load test scenarios with k6 or Artillery; establish baseline for key endpoints,Platform Squad,2025-11-15
PERF-002,Potential N+1 query issues,S2,performance,"Database retrieval paths may have nested queries causing performance issues under load.",Review of apps/api/src retrieval logic suggests sequential queries,Enable query logging; audit for N+1 patterns; optimize with joins or batching,Platform Squad,2025-11-18
PERF-003,Container resource limits not defined,S2,performance,"No CPU/memory limits in deployment configs. Risk of resource exhaustion or noisy neighbor.",Dockerfile and deployment configs lack resource limits,Profile services; define appropriate resource limits (CPU/memory),Ops Team,2025-11-12
PERF-004,No CDN configuration documented,S3,performance,"Static asset delivery not optimized. No CDN configuration for Next.js public assets.",No CDN documentation in deployment guides,Document CDN configuration for production; recommend Vercel Edge Network or Cloudflare,Ops Team,2025-11-30
OBS-001,No centralized error tracking,S2,observability,"Errors difficult to track and correlate across distributed system. No Sentry or similar integration.",No error tracking service integration in codebase,Integrate Sentry or similar error tracking; configure source maps,Platform Squad,2025-11-10
OBS-002,Dashboard configuration not in repository,S3,observability,"Metrics collected but dashboard definitions not version controlled. Manual recreation needed.",No Grafana or dashboard JSON files in repo,Export Grafana dashboards as JSON; commit to repo for version control,Ops Team,2025-11-25
OBS-003,Log retention policies not specified,S3,observability,"No documented log retention strategy. Potential storage or compliance issues.",No log retention documentation in operational guides,Define and document log retention policies per environment; implement rotation,Ops Team,2025-11-20
TEST-001,Incomplete E2E test coverage,S2,testing,"Critical user paths not fully covered by E2E tests. Risk of regressions.",Playwright tests exist but limited scenarios in apps/web/tests,Expand E2E tests to cover all critical flows: agent runs HITL ingestion admin,Frontend Squad,2025-11-20
TEST-002,No visual regression testing,S3,testing,"UI regressions not automatically detected. Manual testing required for visual changes.",No Percy Chromatic or similar visual testing tools,Evaluate visual regression testing tools; integrate if beneficial,Frontend Squad,2025-12-01
TEST-003,Test coverage not measured,S2,testing,"Unknown percentage of code covered by tests. No coverage gates in CI.",No coverage reports in CI or coverage/ directory,Configure Vitest coverage collection; add coverage gate to CI (target 80%),Platform Squad,2025-11-12
OPS-001,Missing SBOM generation in CI/CD,S1,infra,"No Software Bill of Materials generated for supply chain transparency. Compliance and security risk.",No SBOM artifacts in docs/sbom/ or CI workflows,Add SBOM generation workflow using CycloneDX for each workspace,Platform Squad,2025-11-08
OPS-002,Backup restoration not tested,S2,infra,"Backup procedures mentioned but restoration not documented or tested. Recovery may fail when needed.",Supabase backups assumed but no restoration runbook,Document and test backup restoration procedure; establish regular restore testing,Ops Team,2025-11-15
OPS-003,RTO/RPO not defined,S2,infra,"No documented recovery time or recovery point objectives. Unclear disaster recovery expectations.",No RTO/RPO documentation in disaster recovery plans,Define RTO (e.g. 4 hours) and RPO (e.g. 15 minutes); document in runbook,Ops Team,2025-11-12
OPS-004,No cost monitoring,S3,infra,"No cost tracking or budget alerts configured. Risk of unexpected cloud spend.",No cost monitoring tools or alerts documented,Implement cost monitoring and budget alerts for cloud services,Ops Team,2025-12-01
DOC-001,No OpenAPI specification,S2,docs,"REST API lacks machine-readable documentation. Difficult for integrations and contract testing.",No openapi.json or swagger.yaml in repository,Generate OpenAPI spec from Zod schemas using zod-to-openapi,Platform Squad,2025-11-18
DOC-002,Missing GitHub issue templates,S2,docs,"No structured issue reporting. Inconsistent bug reports and feature requests.",No templates in .github/ISSUE_TEMPLATE/,Create bug feature and documentation issue templates,Platform Squad,2025-11-06
DOC-003,No onboarding guide for new developers,S3,docs,"Setup instructions exist but no comprehensive onboarding. Slow ramp-up for new team members.",No developer-onboarding.md in docs/,Create developer onboarding guide with common workflows and troubleshooting,Platform Squad,2025-11-25
A11Y-001,No WCAG 2.1 accessibility audit,S3,frontend,"Accessibility not formally tested. Potential barriers for users with disabilities.",No accessibility testing documented or reports,Conduct WCAG 2.1 Level AA audit using axe DevTools or Lighthouse,Frontend Squad,2025-12-01
A11Y-002,No internationalization framework,S3,frontend,"French-only application without i18n library. Limited to Francophone users (may be acceptable for MVP).",No next-i18next or similar i18n library,Assess business requirement for multilingual support; implement if needed,Frontend Squad,2026-01-15
