app,variable,scope,required,description
apps/api,WA_PHONE_NUMBER_ID,server,no,"WhatsApp phone number id"
apps/api,WA_TEMPLATE_OTP_NAME,server,no,"WhatsApp OTP template name"
apps/api,WA_TEMPLATE_LOCALE,server,no,"WhatsApp template locale"
apps/api,WA_PROVIDER,server,no,"WhatsApp provider selection"
apps/api,C2PA_SIGNING_PRIVATE_KEY,server,no,"PEM encoded signing key"
apps/api,C2PA_SIGNING_KEY_ID,server,no,"Identifier for signing key"
apps/api,POLICY_VERSION,server,no,"Policy version tag"
apps/api,VITEST,server,no,"Set to 'true' in Vitest environment"

apps/ops,NODE_ENV,server,yes,"Node environment for workers"
apps/ops,OPENAI_API_KEY,server,yes,"OpenAI API key"
apps/ops,OPENAI_BASE_URL,server,no,"Override for OpenAI base URL"
apps/ops,OPENAI_VECTOR_STORE_AUTHORITIES_ID,server,no,"Vector store id"
apps/ops,OPENAI_REQUEST_TAGS,server,no,"Default observability tags"
apps/ops,OPENAI_REQUEST_TAGS_OPS,server,no,"Override tags for ops workers"
apps/ops,OPS_CHECK_DRY_RUN,server,no,"Force dry-run for safety checks"
apps/ops,VECTOR_STORE_DRY_RUN,server,no,"Disable write operations on vector store"
apps/ops,API_BASE_URL,server,no,"Base URL for calling hosted API"
apps/ops,SUPABASE_URL,server,yes,"Supabase project URL"
apps/ops,SUPABASE_SERVICE_ROLE_KEY,server,yes,"Supabase service role key"
apps/ops,SUPABASE_MANAGEMENT_API_URL,server,no,"Supabase management API base URL"
apps/ops,SUPABASE_ACCESS_TOKEN,server,no,"Supabase management token"
apps/ops,OPS_ORG_ID,server,no,"Default organisation id"
apps/ops,EVAL_ORG_ID,server,no,"Evaluation default organisation"
apps/ops,EVAL_USER_ID,server,no,"Evaluation default user"
apps/ops,EVAL_BENCHMARK,server,no,"Evaluation benchmark key"
apps/ops,TRANSPARENCY_ORG_ID,server,no,"Transparency report organisation"
apps/ops,TRANSPARENCY_USER_ID,server,no,"Transparency report user"
apps/ops,SLO_ORG_ID,server,no,"SLO report organisation"
apps/ops,SLO_USER_ID,server,no,"SLO report user"
apps/ops,DISPATCH_ORG_ID,server,no,"Regulator digest organisation"
apps/ops,DISPATCH_USER_ID,server,no,"Regulator digest user"
apps/ops,LEARNING_ORG_ID,server,no,"Learning worker organisation"
apps/ops,PERF_ORG_ID,server,no,"Performance snapshot organisation"
apps/ops,PERF_USER_ID,server,no,"Performance snapshot user"
apps/ops,PERF_WINDOW,server,no,"Performance snapshot window label"
apps/ops,RED_TEAM_ORG_ID,server,no,"Red-team organisation"
apps/ops,RED_TEAM_USER_ID,server,no,"Red-team user"

shared,SUPABASE_URL,server,yes,"Database seeding scripts"
shared,SUPABASE_SERVICE_ROLE_KEY,server,yes,"Database seeding scripts"
